County,State,Population_1990,Population_2010,Area
Burnet,Texas,22677,42215,995.3
Caldwell,Texas,26392,37416,545.8
Calhoun,Texas,19053,21120,512.4
Callahan,Texas,11859,13458,898.7
Cameron,Texas,260120,393566,905.6
Camp,Texas,9904,12288,197.5
Carson,Texas,6576,6284,923.2
Cass,Texas,29982,30254,937.5
Castro,Texas,9070,7848,898.4
Chambers,Texas,20088,32371,599.4
Cherokee,Texas,41049,50035,1052.3
Childress,Texas,5953,7115,710.4
Clay,Texas,10024,10922,1097.9
Cochran,Texas,4377,3155,775.2
Coke,Texas,3424,3301,898.9
Coleman,Texas,9710,8857,1272.9
Collin,Texas,264036,738745,847.7
Collingsworth,Texas,3573,3009,918.8
Colorado,Texas,18383,20751,963.0
Comal,Texas,51832,102836,561.5
Comanche,Texas,13381,13863,937.8
Concho,Texas,3044,4047,991.5
Cooke,Texas,30777,38316,873.8
Coryell,Texas,64213,74082,1051.9
Cottle,Texas,2247,1618,901.2
Crane,Texas,4652,4141,785.6
Crockett,Texas,4078,3746,2807.6
Crosby,Texas,7304,6207,899.6
Culberson,Texas,3407,2480,3812.7
Dallam,Texas,5461,6471,1504.8
Dallas,Texas,1852810,2321014,879.9
Dawson,Texas,14349,13853,902.1
Deaf Smith,Texas,19153,19054,1497.4
Delta,Texas,4857,5248,277.2
Denton,Texas,273525,628084,888.5
DeWitt,Texas,18840,20025,909.3
Dickens,Texas,2571,2441,904.3
Dimmit,Texas,10433,9908,1331.0
Donley,Texas,3696,3655,929.8
Duval,Texas,12918,11999,1792.9
Eastland,Texas,18488,18560,926.1
Ector,Texas,118934,133015,901.1
Edwards,Texas,2266,2029,2119.9
Ellis,Texas,85167,143502,940.0
El Paso,Texas,591610,772280,1013.1
Erath,Texas,27991,37142,1086.4
Falls,Texas,17712,17799,769.1
Fannin,Texas,24804,33765,891.6
Fayette,Texas,20095,24175,950.1
Fisher,Texas,4842,4057,901.2
Floyd,Texas,8497,6599,992.3
Foard,Texas,1794,1379,706.7
Fort Bend,Texas,225421,541983,875.0
Franklin,Texas,7802,10675,285.7
Freestone,Texas,15818,19461,885.3
Frio,Texas,13472,16956,1133.1
Gaines,Texas,14123,16658,1502.4
Galveston,Texas,217399,286326,398.7
Garza,Texas,5143,6204,895.6
Gillespie,Texas,17204,24197,1061.2
Glasscock,Texas,1447,1317,900.8
Goliad,Texas,5980,7161,853.6
Gonzales,Texas,17205,19635,1067.9
Gray,Texas,23967,22497,928.3
Grayson,Texas,95021,119111,933.7
Gregg,Texas,104948,119525,274.1
Grimes,Texas,18828,26208,793.8
Guadalupe,Texas,64873,122728,711.2
Hale,Texas,34671,36041,1004.7
Hall,Texas,3905,3424,903.1
Hamilton,Texas,7733,8473,835.8
Hansford,Texas,5848,5470,919.9
Hardeman,Texas,5283,4226,695.4
Hardin,Texas,41320,53220,894.4
Harris,Texas,2818199,3950999,1729.0
Harrison,Texas,57483,64484,898.8
Hartley,Texas,3634,5963,1462.4
Haskell,Texas,6820,5842,903.0
Hays,Texas,65614,146439,677.9
Hemphill,Texas,3720,3668,909.7
Henderson,Texas,58543,78299,874.4
Hidalgo,Texas,383545,736973,1569.1
Hill,Texas,27146,34854,962.4
Hockley,Texas,24199,22933,908.3
Hood,Texas,28981,49816,421.6
Hopkins,Texas,28833,34540,784.8
Houston,Texas,21375,23642,1231.0
Howard,Texas,32343,34285,902.9
Hudspeth,Texas,2915,3441,4571.3
Hunt,Texas,64343,84836,841.2
Hutchinson,Texas,25689,22094,887.4
Irion,Texas,1629,1673,1051.6
Jack,Texas,6981,9072,917.4
Jackson,Texas,13039,13987,829.5
Jasper,Texas,31102,35248,937.5
Jeff Davis,Texas,1946,2340,2264.6
Jefferson,Texas,239397,249349,903.6
Jim Hogg,Texas,5109,5211,1136.2
Jim Wells,Texas,37679,40631,864.7
Johnson,Texas,97165,147611,729.4
Jones,Texas,16490,20157,931.1
Karnes,Texas,12455,14880,750.4
Kaufman,Texas,52220,98402,786.1
Kendall,Texas,14589,31515,662.5
Kenedy,Texas,460,241,1456.9
Kent,Texas,1010,772,902.4
Kerr,Texas,36304,48826,1106.3
Kimble,Texas,4122,4568,1250.8
King,Texas,354,219,912.3
Kinney,Texas,3119,3555,1363.5
Kleberg,Texas,30274,31611,871.1
Knox,Texas,4837,3708,854.2
Lamar,Texas,43949,49536,917.1
Lamb,Texas,15072,14092,1016.3
Lampasas,Texas,13521,19677,712.1
La Salle,Texas,5254,6709,1489.0
Lavaca,Texas,18690,19217,970.0
Lee,Texas,12854,16499,628.6
Leon,Texas,12665,16640,1072.1
Liberty,Texas,52726,74922,1159.8
Limestone,Texas,20946,23170,908.9
Lipscomb,Texas,3143,3218,932.2
Live Oak,Texas,9556,11507,1036.4
Llano,Texas,11631,18992,934.9
Loving,Texas,107,41,673.1
Lubbock,Texas,222636,269932,899.6
Lynn,Texas,6758,5988,891.9
McCulloch,Texas,8778,8220,1069.4
McLennan,Texas,189123,229587,1041.9
McMullen,Texas,817,897,1113.1
Madison,Texas,10931,13433,469.7
Marion,Texas,9984,10771,381.2
Martin,Texas,4956,4606,914.9
Mason,Texas,3423,3928,932.1
Matagorda,Texas,36928,36647,1114.5
Maverick,Texas,36378,52493,1280.2
Medina,Texas,27312,45073,1327.9
Menard,Texas,2252,2212,902.0
Midland,Texas,106611,132103,900.3
Milam,Texas,22946,24934,1016.8
Mills,Texas,4531,4887,748.2
Mitchell,Texas,8016,9342,910.1
Montague,Texas,17274,19789,930.7
Montgomery,Texas,182201,427717,1044.3
Moore,Texas,17865,21102,899.7
Morris,Texas,13200,13077,254.5
Motley,Texas,1532,1123,989.4
Nacogdoches,Texas,54753,63141,946.8
Navarro,Texas,39926,47483,1071.2
Newton,Texas,13569,14389,932.8
Nolan,Texas,16594,14990,912.1
Nueces,Texas,291145,334370,835.9
Ochiltree,Texas,9128,9953,917.6
Oldham,Texas,2278,2020,1500.7
Orange,Texas,80509,82014,356.4
Palo Pinto,Texas,25055,27927,953.0
Panola,Texas,22035,23569,801.0
Parker,Texas,64785,112158,903.6
Parmer,Texas,9863,10098,881.7
Pecos,Texas,14675,15400,4764.0
Polk,Texas,30687,45590,1057.4
Potter,Texas,97874,120124,909.4
Presidio,Texas,6637,7703,3855.8
Rains,Texas,6715,10942,232.1
Randall,Texas,89673,116811,914.5
Reagan,Texas,4514,3298,1175.4
Real,Texas,2412,3279,700.0
Red River,Texas,14317,12987,1050.2
Reeves,Texas,15852,13269,2636.1
Refugio,Texas,7976,7434,770.3
Roberts,Texas,1025,877,924.1
Robertson,Texas,15511,16574,854.6
Rockwall,Texas,25604,73311,128.8
Runnels,Texas,11294,10492,1054.5
Rusk,Texas,43735,52016,923.6
Sabine,Texas,9586,10653,490.3
San Augustine,Texas,7999,8996,527.9
San Jacinto,Texas,16372,25859,570.7
San Patricio,Texas,58749,66100,691.8
San Saba,Texas,5401,6023,1134.5
Schleicher,Texas,2990,3343,1310.7
Scurry,Texas,18634,16579,902.6
Shackelford,Texas,3316,3182,914.0
Shelby,Texas,22034,25423,794.2
Sherman,Texas,2858,3000,923.1
Smith,Texas,151309,203393,928.5
Somervell,Texas,5360,8200,187.2
Starr,Texas,40518,59989,1223.1
Stephens,Texas,9010,9562,894.7
Sterling,Texas,1438,1160,923.4
Stonewall,Texas,2013,1434,918.7
Sutton,Texas,4135,4257,1453.9
Swisher,Texas,8133,7828,900.5
Tarrant,Texas,1170103,1743300,863.5
Taylor,Texas,119655,129477,915.7
Terrell,Texas,1410,850,2357.9
Terry,Texas,13218,12498,889.9
Throckmorton,Texas,1880,1814,912.4
Titus,Texas,24009,30995,410.6
Tom Green,Texas,98458,108000,1522.2
Travis,Texas,576407,979712,989.4
Trinity,Texas,11445,14451,692.9
Tyler,Texas,16646,21472,923.0
Upshur,Texas,31370,38685,587.7
Upton,Texas,4447,3243,1241.8
Uvalde,Texas,23340,26285,1556.6
Val Verde,Texas,38721,48088,3170.7
Van Zandt,Texas,37944,52362,848.8
Victoria,Texas,74361,85813,882.6
Walker,Texas,50917,66353,787.5
Waller,Texas,23390,40831,513.6
Ward,Texas,13115,10505,835.6
Washington,Texas,26154,32949,609.3
Webb,Texas,133239,240346,3357.0
Wharton,Texas,39955,41036,1090.2
Wheeler,Texas,5879,5235,914.3
Wichita,Texas,122378,130976,627.7
Wilbarger,Texas,15121,13637,971.1
Willacy,Texas,17705,21769,596.7
Williamson,Texas,139551,391715,1124.4
Wilson,Texas,22650,41264,807.2
Winkler,Texas,8626,6933,841.1
Wise,Texas,34679,58054,904.7
Wood,Texas,29380,41625,650.3
Yoakum,Texas,8786,7706,799.8
Young,Texas,18126,18298,922.4
Zapata,Texas,9279,13609,996.8
Zavala,Texas,12162,11658,1298.6
Beaver,Utah,4765,6431,2590.1
Box Elder,Utah,36485,48221,5723.7
Cache,Utah,70183,107078,1164.6
Carbon,Utah,20228,20765,1478.6
Daggett,Utah,690,839,698.4
Davis,Utah,187941,294532,304.5
Duchesne,Utah,12645,17408,3238.4
Emery,Utah,10332,10728,4452.1
Garfield,Utah,3980,4958,5174.5
Grand,Utah,6620,8987,3681.8
Iron,Utah,20789,44439,3298.5
Juab,Utah,5817,9855,3391.9
Kane,Utah,5169,6893,3992.2
Millard,Utah,11333,12189,6589.6
Morgan,Utah,5528,9013,609.1
Piute,Utah,1277,1661,757.9
Rich,Utah,1725,2181,1028.6
Salt Lake,Utah,725956,1000155,737.4
San Juan,Utah,12621,14299,7820.7
Sanpete,Utah,16259,26651,1588.2
Sevier,Utah,15431,20438,1910.4
Summit,Utah,15518,35295,1871.2
Tooele,Utah,26601,55398,6945.9
Uintah,Utah,22211,30991,4477.3
Utah,Utah,263590,486067,1998.4
Wasatch,Utah,10089,22176,1180.9
Washington,Utah,48560,134033,2427.2
Wayne,Utah,2177,2706,2460.5
Weber,Utah,158330,222849,575.6
Addison,Vermont,32953,36841,770.0
Bennington,Vermont,35845,37122,676.3
Caledonia,Vermont,27846,31214,651.0
Chittenden,Vermont,131761,154729,539.0
Essex,Vermont,6405,6359,665.3
Franklin,Vermont,39980,47547,637.1
Grand Isle,Vermont,5318,7105,82.6
Lamoille,Vermont,19735,24040,460.6
Orange,Vermont,26149,29059,688.7
Orleans,Vermont,24053,27256,696.9
Rutland,Vermont,62142,62278,932.2
Washington,Vermont,54928,59379,689.6
Windham,Vermont,41588,44438,788.8
Windsor,Vermont,54055,56891,971.3
Accomack,Virginia,31703,34066,454.6
Albemarle,Virginia,68040,96633,722.8
Alleghany,Virginia,13176,16406,445.9
Amelia,Virginia,8787,12517,356.8
Amherst,Virginia,28578,32315,475.3
Appomattox,Virginia,12298,14653,333.7
Arlington,Virginia,170936,197467,25.9
Augusta,Virginia,54677,73201,971.7
Bath,Virginia,4799,4779,531.9
Bedford,Virginia,45656,67697,754.8
Bland,Virginia,6514,6873,358.7
Botetourt,Virginia,24992,32867,542.7
Brunswick,Virginia,15987,17707,566.2
Buchanan,Virginia,31333,24459,503.9
Buckingham,Virginia,12873,16874,580.9
Campbell,Virginia,47572,54174,504.5
Caroline,Virginia,19217,27844,532.6
Carroll,Virginia,26594,29985,476.5
Charles City,Virginia,6282,7205,182.5
Charlotte,Virginia,11688,12644,475.0
Chesterfield,Virginia,209274,308633,425.7
Clarke,Virginia,12101,14013,176.6
Craig,Virginia,4372,5173,330.1
Culpeper,Virginia,27791,45749,381.2
Cumberland,Virginia,7825,9855,298.5
Dickenson,Virginia,17620,15966,332.7
Dinwiddie,Virginia,20960,27449,503.8
Essex,Virginia,8689,10901,257.8
Fairfax,Virginia,818584,1048554,395.6
Fauquier,Virginia,48741,64546,650.3
Floyd,Virginia,12005,15030,381.5
Fluvanna,Virginia,12429,25308,287.4
Franklin,Virginia,39549,54938,692.1
Frederick,Virginia,45723,75835,414.6
Giles,Virginia,16366,17205,357.9
Gloucester,Virginia,30131,36610,216.6
Goochland,Virginia,14163,21136,284.5
Grayson,Virginia,16278,15855,442.7
Greene,Virginia,10297,18082,156.6
Greensville,Virginia,8853,12181,295.5
Halifax,Virginia,29033,36311,813.8
Hanover,Virginia,63306,99172,472.8
Henrico,Virginia,217881,300053,238.1
Henry,Virginia,56942,54860,382.4
Highland,Virginia,2635,2395,415.9
Isle of Wight,Virginia,25053,34762,315.9
James City,Virginia,34859,64386,142.9
King and Queen,Virginia,6289,6926,316.3
King George,Virginia,13527,22794,180.0
King William,Virginia,10913,15509,275.4
Lancaster,Virginia,10896,11478,133.2
Lee,Virginia,24496,25434,437.2
Loudoun,Virginia,86129,291653,519.9
Louisa,Virginia,20325,32248,497.5
Lunenburg,Virginia,11419,12968,431.8
Madison,Virginia,11949,13342,321.5
Mathews,Virginia,8348,9004,85.7
Mecklenburg,Virginia,29241,32774,624.0
Middlesex,Virginia,8653,10831,130.3
Montgomery,Virginia,73913,92527,388.2
Nelson,Virginia,12778,14989,472.4
New Kent,Virginia,10445,17655,209.8
Northampton,Virginia,13061,12572,207.4
Northumberland,Virginia,10524,12419,192.3
Nottoway,Virginia,14993,15819,314.7
Orange,Virginia,21421,32730,341.7
Page,Virginia,21690,24116,311.1
Patrick,Virginia,17473,18643,483.2
Pittsylvania,Virginia,55655,63147,970.9
Powhatan,Virginia,15328,27758,261.3
Prince Edward,Virginia,17320,22723,352.8
Prince George,Virginia,27394,35129,265.6
Prince William,Virginia,215686,379415,338.4
Pulaski,Virginia,34496,34963,320.6
Rappahannock,Virginia,6622,7376,266.6
Richmond,Virginia,7273,9328,191.5
Roanoke,Virginia,79332,91583,250.7
Rockbridge,Virginia,18350,22217,599.7
Rockingham,Virginia,57482,74922,851.2
Russell,Virginia,28667,28842,474.7
Scott,Virginia,23204,23234,536.6
Shenandoah,Virginia,31636,41468,512.2
Smyth,Virginia,32370,32383,452.1
Southampton,Virginia,17550,18493,600.3
Spotsylvania,Virginia,57403,120212,400.9
Stafford,Virginia,61236,124587,270.0
Surry,Virginia,6145,7039,279.1
Sussex,Virginia,10248,12167,490.8
Tazewell,Virginia,45960,44706,519.8
Warren,Virginia,26142,37044,213.7
Washington,Virginia,45887,54322,564.2
Westmoreland,Virginia,15480,17237,229.2
Wise,Virginia,39573,41496,403.4
Wythe,Virginia,25466,29005,463.3
York,Virginia,42422,64846,105.6
Alexandria city,Virginia,111183,133647,15.3
Bedford city,Virginia,6073,6177,6.8
Bristol city,Virginia,18426,17704,11.6
Buena Vista city,Virginia,6406,6653,6.8
Charlottesville city,Virginia,40341,42267,10.3
Chesapeake city,Virginia,151976,219268,340.7
Colonial Heights city,Virginia,16064,17472,7.5
Covington city,Virginia,6991,5989,4.4
Danville city,Virginia,53056,43787,43.1
Emporia city,Virginia,5306,5822,6.9
Fairfax city,Virginia,19622,22058,6.2
Falls Church city,Virginia,9578,11465,2.0
Franklin city,Virginia,7864,8549,7.7
Fredericksburg city,Virginia,19027,23375,10.5
Galax city,Virginia,6670,6936,8.1
Hampton city,Virginia,133793,139046,51.8
Harrisonburg city,Virginia,30707,47406,17.6
Hopewell city,Virginia,23101,22506,10.2
Lexington city,Virginia,6959,6990,2.5
Lynchburg city,Virginia,66049,73726,49.4
Manassas city,Virginia,27957,36067,10.0
Manassas Park city,Virginia,6734,13195,1.8
Martinsville city,Virginia,16162,14029,11.0
Newport News city,Virginia,170045,181822,68.3
Norfolk city,Virginia,261229,242143,53.8
Norton city,Virginia,4247,3886,7.3
Petersburg city,Virginia,38386,32303,22.9
Poquoson city,Virginia,11005,12099,15.5
Portsmouth city,Virginia,103907,96785,33.1
Radford city,Virginia,15940,16318,9.8
Richmond city,Virginia,203056,201828,60.1
Roanoke city,Virginia,96397,95793,42.9
Salem city,Virginia,23756,24641,14.6
Staunton city,Virginia,24461,23806,19.8
Suffolk city,Virginia,52141,82544,400.1
Virginia Beach city,Virginia,393069,435996,248.3
Waynesboro city,Virginia,18549,20885,14.0
Williamsburg city,Virginia,11530,13421,8.6
Winchester city,Virginia,21947,25953,9.3
Adams,Washington,13603,17884,1925.0
Asotin,Washington,17605,21363,635.9
Benton,Washington,112560,167077,1703.1
Chelan,Washington,52250,70995,2921.6
Clallam,Washington,56464,70638,1745.2
Clark,Washington,238053,414816,627.9
Columbia,Washington,4024,3957,868.8
Cowlitz,Washington,82119,101244,1138.7
Douglas,Washington,26205,37160,1820.6
Ferry,Washington,6295,7504,2204.0
Franklin,Washington,37473,71329,1242.2
Garfield,Washington,2248,2240,710.5
Grant,Washington,54758,85142,2676.4
Grays Harbor,Washington,64175,72092,1917.3
Island,Washington,60195,78633,208.6
Jefferson,Washington,20146,29574,1808.8
King,Washington,1507319,1879189,2126.1
Kitsap,Washington,189731,247336,396.0
Kittitas,Washington,26725,39869,2296.7
Klickitat,Washington,16616,20055,1872.5
Lewis,Washington,59358,74650,2407.8
Lincoln,Washington,8864,10533,2311.2
Mason,Washington,38341,59287,961.1
Okanogan,Washington,33350,40238,5268.3
Pacific,Washington,18882,21192,974.6
Pend Oreille,Washington,8915,12904,1400.5
Pierce,Washington,586203,782681,1675.5
San Juan,Washington,10035,15551,174.9
Skagit,Washington,79555,115231,1735.3
Skamania,Washington,8289,10869,1656.5
Snohomish,Washington,465642,694219,2090.2
Spokane,Washington,361364,461262,1763.8
Stevens,Washington,30948,43171,2478.3
Thurston,Washington,161238,243563,727.1
Wahkiakum,Washington,3327,3982,264.3
Walla Walla,Washington,48439,57585,1270.5
Whatcom,Washington,127780,195993,2120.1
Whitman,Washington,38775,43747,2159.4
Yakima,Washington,188823,236542,4296.1
Barbour,West Virginia,15699,16256,340.8
Berkeley,West Virginia,59253,100910,321.2
Boone,West Virginia,25870,24872,503.0
Braxton,West Virginia,12998,14558,513.5
Brooke,West Virginia,26992,24194,88.9
Cabell,West Virginia,96827,95526,281.6
Calhoun,West Virginia,7885,7588,280.6
Clay,West Virginia,9983,9572,342.4
Doddridge,West Virginia,6994,8035,320.5
Fayette,West Virginia,47952,46138,664.0
Gilmer,West Virginia,7669,8394,340.1
Grant,West Virginia,10428,11942,477.2
Greenbrier,West Virginia,34693,35373,1021.3
Hampshire,West Virginia,16498,23594,641.8
Hancock,West Virginia,35233,30866,83.0
Hardy,West Virginia,10977,13832,583.4
Harrison,West Virginia,69371,68490,416.1
Jackson,West Virginia,25938,29084,465.8
Jefferson,West Virginia,35926,52033,209.6
Kanawha,West Virginia,207619,192770,903.2
Lewis,West Virginia,17223,16406,388.8
Lincoln,West Virginia,21382,21879,437.5
Logan,West Virginia,43032,36564,454.2
McDowell,West Virginia,35233,22555,534.8
Marion,West Virginia,57249,56356,309.7
Marshall,West Virginia,37356,33369,307.0
Mason,West Virginia,25178,27016,431.9
Mercer,West Virginia,64980,61844,420.5
Mineral,West Virginia,26697,27796,327.8
Mingo,West Virginia,33739,26956,422.6
Monongalia,West Virginia,75509,92715,361.2
Monroe,West Virginia,12406,13495,473.4
Morgan,West Virginia,12128,17409,229.0
Nicholas,West Virginia,26775,26189,648.7
Ohio,West Virginia,50871,44582,106.2
Pendleton,West Virginia,8054,7773,698.0
Pleasants,West Virginia,7546,7664,130.7
Pocahontas,West Virginia,9008,8808,940.3
Preston,West Virginia,29037,32976,648.4
Putnam,West Virginia,42835,54940,346.3
Raleigh,West Virginia,76819,78513,607.0
Randolph,West Virginia,27803,29233,1039.8
Ritchie,West Virginia,10233,10514,453.5
Roane,West Virginia,15120,15116,483.6
Summers,West Virginia,14204,13847,361.2
Taylor,West Virginia,15144,16732,172.8
Tucker,West Virginia,7728,7137,418.9
Tyler,West Virginia,9796,9339,257.6
Upshur,West Virginia,22867,23984,354.8
Wayne,West Virginia,41636,42647,505.8
Webster,West Virginia,10729,9247,556.1
Wetzel,West Virginia,19258,16697,359.2
Wirt,West Virginia,5192,5753,233.0
Wood,West Virginia,86915,86731,367.4
Wyoming,West Virginia,28990,23993,500.9
Adams,Wisconsin,15682,21044,647.8
Ashland,Wisconsin,16307,16212,1043.9
Barron,Wisconsin,40750,45915,862.9
Bayfield,Wisconsin,14008,15114,1476.4
Brown,Wisconsin,194594,244376,528.7
Buffalo,Wisconsin,13584,13744,684.5
Burnett,Wisconsin,13084,15749,821.5
Calumet,Wisconsin,34291,47902,319.9
Chippewa,Wisconsin,52360,61466,1010.5
Clark,Wisconsin,31647,34552,1215.7
Columbia,Wisconsin,45088,56350,773.9
Crawford,Wisconsin,15940,16801,572.8
Dane,Wisconsin,367085,477748,1202.2
Dodge,Wisconsin,76559,88935,882.4
Door,Wisconsin,25690,27959,482.7
Douglas,Wisconsin,41758,43907,1309.3
Dunn,Wisconsin,35909,43365,852.1
Eau Claire,Wisconsin,85183,97381,637.7
Florence,Wisconsin,4590,4587,488.1
Fond du Lac,Wisconsin,90083,100919,723.0
Forest,Wisconsin,8776,9534,1014.1
Grant,Wisconsin,49264,50716,1147.9
Green,Wisconsin,30339,36448,584.0
Green Lake,Wisconsin,18651,19107,354.3
Iowa,Wisconsin,20150,23646,762.7
Iron,Wisconsin,6153,6075,757.3
Jackson,Wisconsin,16588,20284,987.3
Jefferson,Wisconsin,67783,82778,557.1
Juneau,Wisconsin,21650,26733,767.7
Kenosha,Wisconsin,128181,164328,272.8
Kewaunee,Wisconsin,18878,20642,342.7
La Crosse,Wisconsin,97904,112819,452.8
Lafayette,Wisconsin,16076,16775,633.6
Langlade,Wisconsin,19505,20218,872.7
Lincoln,Wisconsin,26993,29075,883.0
Manitowoc,Wisconsin,80421,81678,591.6
Marathon,Wisconsin,115400,132644,1545.1
Marinette,Wisconsin,40548,42019,1402.0
Marquette,Wisconsin,12321,15421,455.5
Menominee,Wisconsin,3890,4251,358.0
Milwaukee,Wisconsin,959275,937616,241.6
Monroe,Wisconsin,36633,44053,900.9
Oconto,Wisconsin,30226,37737,998.1
Oneida,Wisconsin,31679,36379,1124.7
Outagamie,Wisconsin,140510,174457,640.4
Ozaukee,Wisconsin,72831,85945,232.0
Pepin,Wisconsin,7107,7517,232.3
Pierce,Wisconsin,32765,40530,576.5
Polk,Wisconsin,34773,44310,917.3
Portage,Wisconsin,61405,69437,806.4
Price,Wisconsin,15600,14452,1252.7
Racine,Wisconsin,175034,194736,333.1
Richland,Wisconsin,17521,18205,586.3
Rock,Wisconsin,139510,159964,720.5
Rusk,Wisconsin,15079,14855,913.2
St. Croix,Wisconsin,50251,82636,722.0
Sauk,Wisconsin,46975,60957,837.7
Sawyer,Wisconsin,14181,16615,1256.5
Shawano,Wisconsin,37157,41842,892.6
Sheboygan,Wisconsin,103877,115328,513.7
Taylor,Wisconsin,18901,20557,975.0
Trempealeau,Wisconsin,25263,28523,734.1
Vernon,Wisconsin,25617,29460,795.0
Vilas,Wisconsin,17707,21750,872.8
Walworth,Wisconsin,75000,101735,555.4
Washburn,Wisconsin,13772,16001,809.7
Washington,Wisconsin,95328,130206,430.8
Waukesha,Wisconsin,304715,386130,555.6
Waupaca,Wisconsin,46104,52533,751.1
Waushara,Wisconsin,19385,24631,626.1
Winnebago,Wisconsin,140320,165032,438.6
Wood,Wisconsin,73605,74601,792.9
Albany,Wyoming,30797,34926,4273.8
Big Horn,Wyoming,10525,11448,3137.1
Campbell,Wyoming,29370,43179,4796.9
Carbon,Wyoming,16659,15624,7896.6
Converse,Wyoming,11128,13404,4254.9
Crook,Wyoming,5294,6761,2858.7
Fremont,Wyoming,33662,38875,9182.7
Goshen,Wyoming,12373,12844,2225.5
Hot Springs,Wyoming,4809,4720,2004.0
Johnson,Wyoming,6145,8307,4166.4
Laramie,Wyoming,73142,89221,2686.2
Lincoln,Wyoming,12625,17447,4069.3
Natrona,Wyoming,61226,73520,5340.1
Niobrara,Wyoming,2499,2430,2625.9
Park,Wyoming,23178,27574,6942.7
Platte,Wyoming,8145,8655,2085.0
Sheridan,Wyoming,23562,28380,2523.4
Sublette,Wyoming,4843,9322,4881.6
Sweetwater,Wyoming,38823,42266,10425.9
Teton,Wyoming,11172,20802,4007.9
Uinta,Wyoming,18705,20537,2081.8
Washakie,Wyoming,8388,8271,2240.2
Weston,Wyoming,6518,7066,2397.9
